###############################################################################
# EEPROM Parameters
###############################################################################
Accel_Max_EEPROM_(V)_x_100               , 0x010B, uint, dec, 16, 10, 0x007C, spr, spr
Pedal_Hi_EEPROM_(V)_x_100                , 0x010C, uint, dec, 16, 10, 0x007D, spr, spr

Motor_Torque_Limit_EEPROM_(Nm)_x_10      , 0x0110, uint, dec, 16, 5, 0x0081, spr, spr
Regen_Torque_Limit_EEPROM_(Nm)_x_10      , 0x0111, uint, dec, 16, 5, 0x0082, spr, spr
Braking_Torque_Limit_EEPROM_(Nm)_x_10    , 0x0112, uint, dec, 16, 5, 0x0083, spr, spr
Kp_Torque_EEPROM_x_10000                 , 0x012D, uint, dec, 16, 5, 0x00A4, spr, spr
w1_Torque_EEPROM_(rads/s)                , 0x012E, uint, dec, 16, 5, 0x00A5, spr, spr
Kd_Torque_EEPROM_x_100                   , 0x012F, uint, dec, 16, 5, 0x00A6, spr, spr
Klp_Torque_EEPROM_x_10000                , 0x0130, uint, dec, 16, 5, 0x00A7, spr, spr
Torque_Rate_Limit_EEPROM_(Nm)_x_10       , 0x014B, uint, dec, 16, 5, 0x00A8, spr, spr

Motor_Overspeed_EEPROM_(RPM)             , 0x0103, uint, dec, 16, 7, 0x006F, spr, spr
Max_Speed_EEPROM_(RPM)                   , 0x010F, uint, dec, 16, 7, 0x0080, spr, spr
Valet_Mode_Speed_EEPROM_(RPM)            , 0x0151, uint, dec, 16, 7, 0x00FF, spr, spr
Regen_Fade_Speed_EEPROM_(RPM)            , 0x010D, uint, dec, 16, 7, 0x007E, spr, spr
Break_Speed_EEPROM_(RPM)                 , 0x010E, uint, dec, 16, 7, 0x007F, spr, spr
Kp_Speed_EEPROM_x_100                    , 0x0122, uint, dec, 16, 7, 0x00A0, spr, spr
w1_Speed_EEPROM_(rads/s)                 , 0x0123, uint, dec, 16, 7, 0x00A1, spr, spr
Kd_Speed_EEPROM_x_100                    , 0x0124, uint, dec, 16, 7, 0x00A2, spr, spr
Klp_Speed_EEPROM_x_10000                 , 0x0125, uint, dec, 16, 7, 0x00A3, spr, spr
Speed_Rate_Limit_EEPROM_(RPM/sec)        , 0x014E, uint, dec, 16, 7, 0x00A9, spr, spr

Shudder_Compensation_Enable_EEPROM       , 0x0134, uint, dec, 16, 12, 0x00BB, spr, spr
Kp_Shudder_EEPROM_x_100                  , 0x0135, uint, dec, 16, 12, 0x00BC, spr, spr
TCLAMP_Shudder_EEPROM_(Nm)_x_10          , 0x0136, uint, dec, 16, 12, 0x00BD, spr, spr
Shudder_Filter_Freq_EEPROM_(Hz)_x_10     , 0x0137, uint, dec, 16, 12, 0x00BE, spr, spr
Shudder_Speed_Fade_EEPROM_(RPM)          , 0x0140, uint, dec, 16, 12, 0x00BF, spr, spr
Shudder_Speed_Lo_EEPROM_(RPM)            , 0x0138, uint, dec, 16, 12, 0x00C0, spr, spr
Shudder_Speed_Hi_EEPROM_(RPM)            , 0x0139, uint, dec, 16, 12, 0x00C1, spr, spr

Brake_Mode_EEPROM_(0=SWITCH_1=POT)       , 0x013A, uint, dec, 16, 11, 0x00B4, spr, spr
Brake_Switch_Bypassed_EEPROM             , 0x015F, uint, dec, 16, 11, 0x00C7, spr, spr
Brake_Lo_EEPROM_(V)_x_100                , 0x013B, uint, dec, 16, 11, 0x00B5, spr, spr
Brake_Thresh_Lo_EEPROM_(V)_x_100         , 0x0161, uint, dec, 16, 11, 0x0100, spr, spr
Brake_Thresh_Hi_EEPROM_(V)_x_100         , 0x0162, uint, dec, 16, 11, 0x0101, spr, spr
Brake_Min_EEPROM_(V)_x_100               , 0x013C, uint, dec, 16, 11, 0x00B6, spr, spr
Brake_Max_EEPROM_(V)_x_100               , 0x013D, uint, dec, 16, 11, 0x00B7, spr, spr
Brake_Hi_EEPROM_(V)_x_100                , 0x013E, uint, dec, 16, 11, 0x00B8, spr, spr
Regen_Ramp_Rate_EEPROM_(Sec)_x_1000      , 0x0133, uint, dec, 16, 11, 0x00B9, spr, spr
Brake_Pedal_Flipped_EEPROM_(0=N_1=Y)     , 0x013F, uint, dec, 16, 11, 0x00BA, spr, spr

